	contract_id	cnt_blocks_1m	cnt_blocks_2m	cnt_blocks_3m	cnt_blocks_2m_sum	cnt_blocks_3m_sum	ratio_cnt_blocks_2m	ratio_cnt_blocks_3m	avg_block_3m	last_block	ratio_last_block_to_3m	age	contract_duration	cnt_active_services_now	cnt_active_services	cnt_canceled_services	avg_service_time	last_change_time	avg_service	cnt_contracts_in_area	cnt_active_contarcts_in_area	cnt_broken_contracts_in_area	credit_3m	credit_2m	credit_1m	cnt_transactions_3m	cnt_transactions_2m	cnt_transactions_1m	transaction_period_3m	transaction_period_2m	transaction_period_1m	avg_transaction_3m	avg_transaction_2m	avg_transaction_1m	last_transaction	ratio_last_transaction_to_3m	ratio_last_transaction_to_2m	ratio_last_transaction_to_1m	last_transaction_time	ratio_last_transaction_time_to_1m	ratio_last_transaction_time_to_2m	ratio_last_transaction_time_to_3m	cnt_favorite_transactions	cnt_types_of_transaction	cnt_tariff_plan	last_tariff_plan_change	tariff_payment_now	tariff_payment_before	diff_in_tariff_payments	avg_tariff_change_time	cnt_equip	traffic_activity_1m	open_sessions_1m	traffic_activity_2m	open_sessions_2m	traffic_activity_3m	open_sessions_3m	traffic_activity_1w	open_sessions_1w	traffic_activity_2w	open_sessions_2w	traffic_activity_3w	open_sessions_1m.1	traffic_activity_4w	open_sessions_4w	ratio_traffic_1m_to_3m	ratio_traffic_1m_to_2m	avg_daily_traffic_1m	avg_daily_traffic_2m	avg_daily_traffic_3m	avg_daily_traffic_1w	avg_daily_traffic_2w	avg_daily_traffic_3w	avg_daily_traffic_4w	avg_traffic_per_session_1m	avg_traffic_per_session_2m	avg_traffic_per_session_3m	avg_traffic_per_session_1w	avg_traffic_per_session_2w	avg_traffic_per_session_3w	avg_traffic_per_session_4w	ARPU	churn	churn_pred_prob
10	4599	0	9	9	9	18	0	0,7591765348	338	1065,71032182	0	36	653	1	0	0	481	3490	0,3339092544	10	1	0	0	13,9072246774	15,4320354078	0	0	0	0	0	0	0	0,3907717414	0	0	0,595073421	0	1,3855759536	66	2,3139986759	0,3770645736	0,2722929366	0	3	16	0	4,5671854252	0,7357183069	3,8314671183	0	0	0	0	0	0	12,5029492655	110380	13,8952639314	125815	0	0	0	0	0	0	0,2965354588	1	4,1789000368	0	0	0,786506014	0,010491556	0	1,8148799329	0	0,003366792	0	0	0,0019137462	0	0,0011963874	1566	1	0,6833333333
11	2234	5	11	0	16	16	1	0,9332589429	193	180,295571894	24,5835978825	47	357	2	0	1	170	387	1,1001922845	206	76	2	5,2176379463	2,484703539	1,7927804988	2	1	0	29	11	21	1,2805070034	0,7044608006	0	10,3398978016	1,2194783067	0	3,4441046451	0	0	1,987915133	0	0	0	14	86	0,1844873444	6,1034187871	-5,9189314427	0	0	0	0	26,9936702429	244332	110,922999186	949717	5,0535203839	36184	0	0	3,5146922157	29499	0	0	0	0,1067771919	0,1418752008	0	0	0,5981847047	1,2688874467	1,7020594228	0,5664946423	0,0005568074	0,0004707079	0,000385697	0	0,0003837822	0	0	190	0	0,2366666667
12	1689	5	1	1	6	7	0,9313088582	0,1176212581	0	0	19,8258221377	60	1149	1	3	0	0	0	0,3121064114	117	29	5	0	4,1401664392	1,2918090011	6	2	0	32	0	3	0	1,6805488008	0	1,8048749959	0	0	3,3204503623	0	0	0	1,3588775828	133	2	0	792	4,2186887217	6,1239157024	-1,9052269807	109,632627084	4	0	0	0	0	0	0	0,5678751319	4066	2,0325684916	16827	4,1066612984	34467	25,605658889	214909	0,4774958018	0	0	0,3189268882	3,1129941511	0	0	1,8716205739	0,6289943015	0	0	0,000580969	0,0002402016	0	0	0,0045551131	1148,63739171	0	0,3766666667
13	1797	0	4	0	4	4	0,7174687368	0,560307875	493	0	3,1734740148	43	1394	0	2	0	0	1489	1,1016097301	76	5	0	5,5293190002	0	0	7	9	7	46	0	44	5,6554242314	2,3970584086	0	0	0	0,5072206544	0	40	0,2732584155	0,8435406332	2,6208830491	280	2	10	283	7,6369250824	4,0019301115	3,6349949709	0	0	0	0	0	0	8,3932522842	71862	8,3790090213	59996	0	0	2,7431404594	23023	8,4189281397	70660	0,3043637563	1	4,5547046412	0,8765351465	0	0	0	0	0,1667363148	0,0006105797	0,0003279856	0	0,0001296727	0	0	0,0014887604	1052	1	0,4233333333
14	1549	0	7	0	7	7	0,0904895062	0,1316478293	0	0	0	56	748	1	0	0	0	0	0,0394688196	174	48	7	8,5508935699	0	3,1112400635	4	5	4	61	7	5	1,9428110354	0	3,0193122465	6,9140968238	0	1,4478704439	0,3683108193	26	0	1,5007285998	0	140	4	36	296	0	1,5073849174	-1,5073849174	0	1	18,1798697399	151594	0	0	0	0	0	0	0	0	9,426154721	79114	4,544864412	38145	0,0529594363	0,5579169857	1,0656753983	0	0	0	3,5365772385	0	1,4158732831	0,0010238718	0	0	0,0001965039	0,0001664731	0,000259806	0,0003608714	712	1	0,3
15	3443	0	24	14	24	38	1	0,823204574	742	1853,49833632	0	29	2000	1	0	2	4440	544	1,6173914813	280	135	23	0	0,0614718244	3,312905008	11	0	3	81	0	0	1,1447976133	1,8793524888	2,599815404	1,4348836756	3,8047844541	0	0,9553715795	6	0	0	1,2082826651	444	0	26	0	0	1,0110442997	-1,0110442997	203,920918058	0	0	0	0	0	77,2160164138	681688	0	0	0	0	85,613828809	608218	19,751830701	155311	1	0,1783524152	0	0,1261475597	5,7666538332	0	0	1,0092473373	2,8511421934	0	0,0016655749	0,0005446805	0,0011746203	0	0	0,0027670445	766	1	0,6533333333
16	494	0	6	1	6	7	0,8603265773	0,6278011814	534	584,638049326	15,7715105455	66	126	1	0	0	4288	0	1,2628624463	55	11	0	11,9320294722	0	9,1667674017	2	0	0	0	12	15	0	0	2,2246933867	0	0	0	0	0	0	0,770386868	0,2451753203	187	9	14	150	2,9354179551	1,5004345063	1,4349834488	83,5059117609	0	0	0	17,9106463328	162117	0	0	1,0622992612	7606	0	0	3,5916550256	30144	1,7046736875	14307	0,7590135982	0,5949661455	0	0,0671165713	1,5638583736	1,5003917176	1,9811689411	0,6986097179	1,6820175549	0,0004155315	0	0,0001914886	0	0	0,00035276	0,0001789812	1186	1	0,2266666667
17	1702	7	14	5	21	26	0	0,7566928503	220	849,381464932	13,348672819	26	954	1	0	6	553	0	1,4301368283	32	24	0	13,4690295148	5,7987781152	5,2986283277	0	2	5	84	18	45	4,2624645224	0	0,985535296	0	0,0986672844	1,3535029685	3,1512959147	5	0	1,7871955602	2,8016214077	245	4	8	0	12,5447437942	3,7466502276	8,7980935666	0	1	0	0	0	0	0	0	6,1315185805	43903	3,3778235271	27965	5,0164410402	42103	1,5784484364	13248	0	0,8705906585	1,2124450836	0,3242455207	0,0541137331	1,5859723362	0,2697431331	0	1,856976101	0	0,0033504596	0,0006839202	0,0002787936	0,0005365688	0,0005512544	0,0002995619	176	1	0,3666666667
18	5223	0	0	11	0	11	0,2046112408	0	571	546,06764718	0	52	1819	1	0	2	127	0	1,1251682396	223	159	7	5,6593352233	1,5298490945	0	0	2	0	0	2	28	0	2,6700229164	4,7329876627	0	0	1,6999569411	0,0079387285	0	4,3675412185	0	1,5626188129	88	1	0	321	2,3912234879	0	2,3912234879	175,111511732	1	0	0	0	0	0	0	3,9764547047	36005	7,2554537552	55432	6,3541137227	45140	58,0809606382	456698	0	0	0,6003355721	0	1,8124202005	0	0,7414715493	5,0609569343	3,8307048277	0,0022195191	0	0	0	0	0,0055674291	0,0020400215	1912	1	0,7633333333
19	4163	0	0	3	0	3	0,5140705068	0,5826953326	1027	819,44271405	2,3635342097	35	3295	0	2	0	0	3773	0,7958136667	115	47	5	0	7,772765099	17,3062787392	0	17	5	6	0	15	0	0	0	0	0	2,40644384	0	0	3,9005079955	0,7369050547	0	0	1	0	875	1,6722813759	3,188033102	-1,5157517261	732,267806272	0	0	0	0	0	0	0	0	0	0	0	31,6815308018	225072	0	0	0,6804700584	0	1,3824647828	0,9806601604	0	0	1,9463240406	0	3,3912797837	0	0,0006507204	0,0001706401	0,0002852932	0	0	0	1128	1	0,6
20	2934	14	0	0	14	14	1	0,1930413766	3	680,006580927	3,7657763822	23	1027	0	3	0	0	70	0	131	79	10	0	5,870899292	0	5	0	6	31	45	19	9,0501960453	0	0	0	0,7686829464	0	0,7113524326	0	0	2,0836472344	0	217	4	8	268	0,7250884838	3,3076960724	-2,5826075886	0	0	30,9964358221	239180	27,2229063393	227786	11,1255528259	98220	8,5551598706	77463	12,2535397868	93618	0	0	0	0	0,1699949926	0,599038175	2,8901194425	0	1,7224172039	0,6014503851	4,9261423078	0	0	0,0028625073	0,0030395387	3,24715342602e-05	0	0	0	0,0437354131	582	0	0,73
21	5332	0	0	4	0	4	0,8469669463	0,4332210869	0	0	2,4801226154	43	1821	0	0	1	0	3612	1,3238386113	108	4	0	2,7757043664	0	6,7571655888	5	6	0	24	0	0	0	19,0435972728	0	3,4213317159	5,095016617	0,0847168346	0	0	0,1485673396	0,2465700221	1,8652451548	114	4	3	0	0	0	0	0	2	0	0	57,9418136027	484825	0	0	1,0794033424	9773	13,5894944825	103825	55,1986875945	392142	0	0	0,6409394477	1	1,0686719664	0	0	0,3632084132	0,0590260594	0	0	0,0024146426	0	0	0,0001558651	0	0,0036571922	0	310	1	0,76
22	2581	3	0	2	3	5	0,6493923079	1	190	513,000628366	0	34	239	1	6	3	468	0	1,3526515555	143	114	16	0	0	0	9	0	7	0	9	19	3,7032368995	2,8105945156	0	0	0	0	0	3	0,1603588716	1,443066312	0,9438388435	250	3	6	709	0,0143379778	3,0561788869	-3,0418409091	4,6714864528	0	85,6157955253	660645	18,6745510009	156258	0	0	30,73038939	278250	46,4978316671	355248	0	0	37,4729359922	294655	1	0	0	0,9562798766	1,5599747367	0	0	0	0	0,0013258396	0	0,0003507114	6,78790090107e-05	0	0	0,0048348798	706,448047178	1	0,63
23	3742	1	2	6	3	9	0,8765842205	0,8763002532	343	279,137287813	0	28	96	1	0	0	102	3859	1,3198163694	205	98	6	0	0,0929250093	5,2634889642	6	9	1	46	0	0	2,8487074182	0	0	0	0	0	3,4122983487	24	1,1940825547	1,6309735255	0	0	6	5	0	10,5289123469	0	10,5289123469	0	0	0	0	247,769593307	2073202	0	0	0	0	0	0	11,7561321874	83517	0	0	0,0245145779	0,3399767418	1,1290209246	0	0	0	0	26,0259341161	0,7920825269	0	0	0,0004577416	0,0001847588	0	0	0	466	1	0,6266666667
24	3604	0	4	1	4	5	0	0,3962890652	0	0	0	40	834	0	2	4	102	544	3,7034607386	138	89	7	0	0	1,4029367197	4	0	0	16	4	0	15,0613670994	0	0	3,2780527447	4,0426151119	0	0	21	0	0	0	156	5	19	712	0	2,1422532322	-2,1422532322	740,533801756	1	0	0	73,6667850412	616403	71,7910301974	633794	5,8208981173	52705	22,4827955154	171770	0	0	30,1332667518	236942	0,0969640513	0,2129831092	0	0,3988176689	1,1283770624	0,2091702146	0	0	0	7,80767905222e-05	0	0,0006063468	9,92848431207e-05	0,0017866387	0	0	1626	1	0,66
25	5164	0	0	0	0	0	0,3064873012	0,7266818693	0	0	0	34	28	0	0	0	229	1410	0,8187423244	73	66	12	2,7460680261	5,2124816953	0	0	0	0	2	0	62	0	0	0	0	1,9610390287	0	2,3942060953	0	0,1879255189	1,2515515427	0	95	3	16	0	2,1883794204	0,7541658638	1,4342135565	928,968815069	1	0	0	99,9401633233	836245	17,627389878	155620	4,9660989056	44965	0	0	31,9153361813	226733	0	0	0,1560500014	0,5928525253	0	0	1,0575585779	0	0,9085726917	0	0,4553465449	0	0	0,0006924634	0,0001075645	0,0034359256	0,004075221	0	370	1	0,74
26	1777	0	0	0	0	0	1	0,0346747264	249	0	0	40	1487	0	3	0	0	3401	0,6680518417	19	4	0	0,6366162105	5,6396114378	6,8931741943	9	0	0	27	11	3	0,4334972275	0	0	4,8855088142	0,8662818775	1,0272384153	0,5652084221	4	0,5895530844	4,9570725411	1,056396569	0	6	0	0	0	0,4176542096	-0,4176542096	0	0	0	0	0	0	0	0	15,5849804004	111593	85,6942135258	709475	11,2595764102	94502	19,1040346085	160341	0,0310559876	1	0	0	0,3708586397	0,1865631851	0,9770857189	0,8641909041	0	0	0	0	0	0,000654278	0,0005076798	0,0007625919	1311,14171737	0	0,4366666667
27	5066	5	3	1	8	9	0	0	729	0	0	59	1876	1	7	0	109	0	0	74	46	6	0	12,5181687885	2,7812965674	14	0	5	2	0	45	0	6,9206980493	1,447231736	0	0	0	1,640781905	22	0	1,1291040822	2,0172408674	47	9	23	997	5,9422852409	0	5,9422852409	0	0	0	0	0	0	15,2315602414	134469	0	0	0	0	0	0	0	0	0,6869958195	0,317644954	1,3306897394	3,2538052421	5,942655778	0	0	1,1429007451	1,4178494058	0	0,0011109905	0	0,0004766198	0	0,0014284234	0	92	1	0,5233333333
28	878	0	2	0	2	2	0	0,9800322498	0	808,039434859	10,9032722057	59	429	0	6	0	1812	0	2,5491531639	356	18	0	0	12,216296846	0	0	1	0	30	0	11	2,5871656408	24,0436250074	0	2,0377808174	0,4857683553	0	0,7046598846	6	1,9469805848	1,0622501101	3,9813336726	0	0	19	270	0	1,2082471259	-1,2082471259	51,5855649191	1	9,3177392918	77696	11,5408539707	104461	0	0	0	0	3,9321878028	32555	2,5780053327	21637	6,73309631	56511	0	0	0,2678621538	0	2,2313168785	0	1,6498978013	0,5029735764	0	0,0003539099	0	0	0,000113563	0,0005206339	0,0001099406	0,0003594872	268	0	0,3566666667
29	42	3	0	12	3	15	1	1	0	0	3,7614353354	57	1915	1	0	3	932	0	1,0541617774	38	20	1	0	5,5377736194	1,0102515585	0	10	7	0	6	0	0	0	2,066474783	1,7368906783	5,0167646819	2,1160998287	0,9311726881	0	2,5968010598	0	0,0117656695	0	1	10	156	6,7771473948	0	6,7771473948	171,379181075	0	14,7379117241	122893	0	0	45,7664302874	391849	0	0	1,475482421	12215	0	0	0	0	0,5247739222	0,6169052431	0,6455762605	0,3946229818	0	0	0	0	0,1113999151	0	0	0,0006648327	0	0,0004967591	0	0,0005378275	859,46612671	1	0,3366666667
30	1717	0	27	4	27	31	1	0,4742868838	336	0	7,0314952828	57	1010	0	0	2	432	0	0,9720051425	255	228	14	4,5808406596	2,3669560878	3,0505702959	4	0	6	64	23	0	0	0	0	0,0099017431	4,9560859	2,4424969626	0	0	1,1471902724	0	1,3724329784	112	1	6	0	0	6,3028855374	-6,3028855374	47,0778451987	1	16,1949430284	135042	0	0	0	0	0	0	6,5383691231	54132	7,7648004611	65170	0	0	0	0	0	1,6178246152	4,6633539484	5,6902926679	0,8970436494	0	0	0,0006182242	0	0	0,0002348407	0	0	0,00010512	1468,81569582	1	0,33
31	3814	0	0	0	0	0	0,5308940464	1	240	0	1,6313158885	41	898	1	0	0	159	1072	1,0247381796	217	128	3	5,5278861682	0	0	0	3	1	53	26	6	0	4,4167042551	1,489052241	9,6900624109	0,1193873185	0	0	0	3,6898059472	1,0670353089	0,608266327	0	4	0	744	0,0623634307	4,1087124837	-4,0463490529	0	0	0	0	0,3612737964	3022	0	0	0	0	0	0	0	0	0,8673048931	6819	0,1481825816	0,7418055723	0	0	0,0063904954	0,0607844631	0	0,9284152224	0	0,0023604225	0	0	0	0,0010949506	0	0	1360	1	0,75
32	4829	0	0	4	0	4	0,878417567	1	96	0	0,4746932779	44	379	1	0	3	0	2025	1,1568173886	141	19	0	11,5186595863	0	3,9960669505	6	1	1	0	0	6	7,7291901072	0	4,2946240643	0	1,6908718655	1,5895462271	1,1812089696	17	3,2715655691	0	0,288794645	74	2	5	0	2,1784946376	0	2,1784946376	0	0	36,4189247956	281023	0	0	0	0	1,2806281543	11595	0	0	0	0	0	0	0	0,4858897319	3,7600324941	2,9172144716	0,4435343603	0,9553692122	0	3,0415912742	0,4357800546	0	0	0	0	0,0029104893	0,0023023255	0	0	0	0,75
33	2309	0	0	0	0	0	0,3788618116	0,4330539386	0	403,073227108	0,0473795179	62	1208	1	2	0	0	424	1,9976992644	212	30	2	8,6978294402	6,6169880838	6,2079965082	0	6	0	25	28	0	0	0	2,6647293581	4,5212809993	0	5,5077785702	0	0	2,0663277694	0	0,325465701	0	2	0	0	2,929449251	3,0014556106	-0,0720063597	0	0	72,0649987575	600919	0	0	0	0	0	0	2,9445308322	24378	13,204350232	110824	3,2189223273	27016	0,376168978	0,2116211917	0	0,9560921809	0	0	0,9095819235	0	0	0,000282803	0,0003140835	0	0,0003829844	0,0002609728	0,0002052391	0	1315,2905583	0	0,3166666667
34	2190	5	1	6	6	12	0,8951578848	0	0	525,63637744	0	68	78	1	0	0	0	469	2,0710726651	211	78	11	0	2,3365790389	4,0404866005	2	4	0	31	37	0	0	6,6097057158	0	2,582773853	2,1567811806	0,0332145244	0,0602713343	19	1,8242675877	0	3,1713272695	0	16	3	0	1,3668134187	1,0508028076	0,3160106111	0	5	57,203518297	476995	0	0	2,2241591856	19043	2,0251079469	14500	0,4899562679	4056	0	0	0	0	0,6100930839	0,7265420155	0	0	1,4808419978	0	0	1,674587466	0	0,0004199375	0	0,0001429612	0,000740299	0	0,0001412997	0	436	0	0,41
35	3184	0	0	0	0	0	0,3268889124	0,7638614232	9	376,013749533	3,3879813201	44	1749	2	0	0	0	1139	1,2279653317	30	19	0	2,3594479469	11,5948278815	12,462011007	0	5	3	0	27	5	0,7516371301	1,5823300857	3,2552166272	34,3896885318	1,3543052111	3,0333408651	1,0359556362	0	1,1133182667	0	0,2318991298	0	5	0	744	0	4,2204227454	-4,2204227454	0	2	19,8054825013	152827	0	0	0	0	0	0	9,4455152659	72164	10,8775314254	77276	48,030177078	377668	0,4896808179	0	1,9036556303	0	0	0,2275631721	2,331715192	0	0	0	0,0003485797	0	0,0006657366	0	0	0,0014287507	682	1	0,5766666667
36	4084	0	0	4	0	4	1	0	198	0	2,142253744	26	531	1	3	0	0	1721	1,5793867975	35	6	0	5,4290536619	3,7034119764	9,2088464299	0	5	19	12	40	0	0	0,0329512313	3,0433737221	3,2710730651	1,1579954939	1,6309962665	0,8336535938	0	6,4306645082	0,789850765	0	143	2	7	939	1,5419436922	3,9216943298	-2,3797506376	0	0	14,883047273	114843	163,2954987	1366368	13,228680638	116787	0	0	21,2762930655	162553	24,6127109895	174853	13,1761486936	103605	0	0,9578792069	0	0	1,5250268735	0,8293306259	0	0	2,3306310921	0	0	0	0	0,0026731284	0	0,0012138163	666	1	0,7533333333
37	1408	0	0	0	0	0	0,5051547974	1	0	0	22,7021295108	64	1570	0	0	0	746	979	0,7139363904	77	38	3	0,3726687199	1,3128199394	8,8011392144	0	5	3	0	12	59	1,8677851045	0,6103651837	3,2889509352	20,2167217323	0,8322414872	0	0,5513179913	52	0,5508287936	1,3045932438	1,6723705238	299	4	2	0	1,8247006453	0	1,8247006453	0	6	79,9502035446	666670	12,165300482	110113	96,7711495545	828549	3,0411324434	21775	2,7428097559	22708	0	0	0	0	0	0,000140482	0,8429605864	0,3873729071	0,7730572363	0	0	0,7072446933	0	0	0,0001680026	0	0,0004729044	0	0,0001868175	0,0007986972	1057,74662671	0	0,26
38	2238	9	13	1	22	23	0	0,3913071362	274	1452,47623092	0,6342530252	57	1907	1	1	0	0	0	0,615454764	226	178	32	0	0	3,1760642144	0	7	0	0	0	13	0	0	0	0	2,4967391883	0,7403080118	1,6742821959	0	3,3994529467	2,4168364168	0	0	5	0	919	6,6819926254	0	6,6819926254	164,429973338	0	42,1183583743	351207	13,7478160674	124437	49,3042044509	422140	0	0	0	0	23,4270152562	196624	0	0	0,9984185825	0,7370360769	0	0	0	1,2628084503	2,7294523558	0,5967798272	0	0	1,08462154416e-05	0	0	0	0	0	649,387611223	1	0,51
